"GRTinETH","GRTinUSD","activeDelegationCount","activeDelegatorCount","arbitrator","channelDisputeEpochs","curationPercentage","curationTaxPercentage","curatorCount","currentEpoch","defaultReserveRatio","delegationCount","delegationParametersCooldown","delegationRatio","delegationTaxPercentage","delegationUnbondingPeriod","delegatorCount","epochCount","epochLength","fishermanRewardPercentage","indexerCount","indexingSlashingPercentage","isPartialPaused","isPaused","lastLengthUpdateBlock","lastLengthUpdateEpoch","lastRunEpoch","maxAllocationEpochs","minimumCurationDeposit","minimumDisputeDeposit","minimumIndexerStake","networkGRTIssuance","ownerTaxPercentage","protocolFeePercentage","querySlashingPercentage","rebateRatio","stakedIndexersCount","subgraphAvailabilityOracle","subgraphCount","subgraphDeploymentCount","thawingPeriod","totalCuratorQueryFees","totalDelegatedTokens","totalDelegatorQueryFeeRebates","totalGRTBurned","totalGRTMinted","totalIndexerQueryFeeRebates","totalIndexerQueryFeesCollected","totalIndexingDelegatorRewards","totalIndexingIndexerRewards","totalIndexingRewards","totalQueryFees","totalSupply","totalTaxedQueryFees","totalTokensAllocated","totalTokensClaimable","totalTokensSignalled","totalTokensStaked","totalUnclaimedQueryFeeRebates","totalUnstakedTokensLocked","date_utc","date_time_utc"
"0","0",8920,7012,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,433,213,500000,12318,0,16,5000,28,8646,213,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",138,126,186092,"20737952320030852283617","2089945143043045012844897477","66503466112389670969897","15436642176627255311612352","10164537427371799901010526203","53079405287549551221842","192430466924990858882810","100956254570197109335689419","63581172801602791674836784","164537427371799901010526203","216926015291573639518020","10149100785195172645698913851","3757596046551928351593","2931129671138236110000000000","0","2476652065990818946336494","873119008120372770650553572","72847595525051636691071","1537611386043740064473800",2021-07-21,"2021-07-21 02:00:04"
"0","0",8927,7017,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,435,214,500000,12332,0,16,5000,28,8655,214,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",156,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",139,130,186092,"20738233577050852283617","2090003953521240664728492024","66520672298867298015467","15443006657560533454709449","10164948650620131152306668967","53082645372002062431201","192432998238170858882810","101278052412873417887559618","63670598207257734419109349","164948650620131152306668967","216928856271573639518020","10149505643962570618851959518","3757624456351928351593","2938442203178236110000000000","0","2610196665526422076002272","873215168132061260661689558","72829680567301498436142","18137611674428673380273800",2021-07-21,"2021-07-21 18:00:04"
"0","0",8930,7018,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,438,214,500000,12335,0,16,5000,28,8655,214,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",156,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",142,133,186092,"20738318268766385886641","2090498205059006284042790982","66520672298867298015467","15456520570339380009952503","10164984526378007339095207434","53082645372002062431201","192433760463610661310026","101284008748290903818913646","63700517629716435276293788","164984526378007339095207434","216929711743447716316242","10149528005807667959085254931","3757633011070669119575","2940347016828236110000000000","0","2804616795644157576448086","873216283505262270207509445","72830442792741300863358","18137611674428673380273800",2021-07-22,"2021-07-22 00:00:05"
"0","0",8932,7020,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,440,214,500000,12339,0,16,5000,28,8657,214,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",143,134,186092,"20738318268766385886641","2090507238223059335046855513","66520672298867298015467","15459067556131703706064236","10164992634081229692467959134","53082645372002062431201","192433760463610661310026","101289432453326094526619020","63703201627903597941340114","164992634081229692467959134","216929711743447716316242","10149533566525097988761894898","3757633011070669119575","2941250292828236110000000000","0","2817711165889064317742348","873420449505262270207509445","72830442792741300863358","18137611674428673380273800",2021-07-22,"2021-07-22 06:00:04"
"0","0",8934,7021,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,441,215,500000,12342,0,16,5000,28,8659,215,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",148,136,186092,"20738669593036385886641","2090509150324671525481625618","66552328145368529188081","15459825965114538059055153","10165063520465723104695594014","53209268758006987121653","192450451587400661310026","101316824725078251634806806","63746695740644853060787208","165063520465723104695594014","216946926337447716316242","10149603694500608566636538861","3757805157010669119575","2944067160678236110000000000","0","2736346174402984109674091","873423504727411682561166694","72688854684025145000292","18137611674428673380273800",2021-07-22,"2021-07-22 12:00:04"
"0","0",8939,7027,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,446,215,500000,12351,0,16,5000,28,8668,215,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",149,140,186092,"20738687697562385886641","2090385396055710501141023726","66552328145368529188081","15465308180513749097430219","10165079783213887131080584868","53209268758006987121653","192450614528134661310026","101326952087282626934997402","63752831126604504145587466","165079783213887131080584868","216947109211447716316242","10149614475033373381983154649","3757806985750669119575","2939847046688236110000000000","0","2820353968907258195922969","873423612922337190563023418","72689017624759145000292","18137611674428673380273800",2021-07-22,"2021-07-22 18:00:05"
"0","0",8943,7032,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,448,215,500000,12356,0,16,5000,28,8673,215,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",149,141,186092,"20738797957822385886641","2090395721113851485296188199","66552328145368529188081","15467382654486421366144076","10165632797672194721488900094","53209268758006987121653","192451606870474661310026","101776335692471279245342456","63856461979723442243557638","165632797672194721488900094","216948222951447716316242","10150165415017708300122756018","3757818123150669119575","2944963498398236110000000000","0","2882782213328852411467671","873485844727025823853217473","72690009967099145000292","18137611674428673380273800",2021-07-23,"2021-07-23 00:00:05"
"0","0",8951,7036,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,449,215,500000,12365,0,16,5000,28,8678,215,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",149,142,186092,"20738797957822385886641","2090503019905685206467321776","66552328145368529188081","15469638460489765157613347","10165640591374399654162196622","53209268758006987121653","192451606870474661310026","101781853308084860207599220","63858738066314793954597402","165640591374399654162196622","216948222951447716316242","10150170952913909889004583275","3757818123150669119575","2945312887898236110000000000","0","2900872170948800898740340","873486278449267221363986630","72690009967099145000292","18137611674428673380273800",2021-07-23,"2021-07-23 06:00:04"
"0","0",8971,7038,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,449,216,500000,12389,0,16,5000,28,8682,216,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",154,144,186092,"20739032167072385886641","2090392788183131046967704535","66552406465616866171828","15471349761482535996774728","10166098693460027876893217182","53209582892213935915841","192456107666884661310026","101791328927303054180851140","64307364532724822712366042","166098693460027876893217182","216953005785447716316242","10150627343698545340896442454","3757865951490669119575","3015070754888236110000000000","0","2920657858301008478161563","873488366968480606820702530","72694118309053859222357","18137611674428673380273800",2021-07-23,"2021-07-23 12:00:04"
"0","0",9008,7041,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,456,216,500000,12428,0,16,5000,28,8685,216,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",156,147,186092,"20739032167072385886641","2090444735995320510061104359","66552406465616866171828","15478311289122847980609195","10166183813346813164569931548","53209582892213935915841","192456107666884661310026","101849635733491207348154832","64334177613321957221776716","166183813346813164569931548","216953005785447716316242","10150705502057690316589322353","3757865951490669119575","2961813356278236110000000000","0","3028416623772899049012885","873489460711482450896196718","72694118309053859222357","18137611674428673380273800",2021-07-23,"2021-07-23 18:00:04"
"0","0",9012,7044,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,461,216,500000,12436,0,16,5000,28,8692,216,6646,500000,220,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",157,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",157,148,186092,"20739032167072385886641","2090423771919143895816896357","66552406465616866171828","15480307845699022157449196","10166378345148959431719031450","53209582892213935915841","192456107666884661310026","101997582548586252861351501","64380762600373178857679949","166378345148959431719031450","216953005785447716316242","10150898037303260409561582254","3757865951490669119575","3003629991168236110000000000","0","3068295142967672988535542","873497696202913679665974961","72694118309053859222357","18137611674428673380273800",2021-07-24,"2021-07-24 00:00:05"
"0","0",9015,7046,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,463,216,500000,12442,0,16,5000,28,8697,216,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",158,149,186092,"20744098927672385886641","2090386729618801175539726995","66606453824313464523516","15482473026554156493861273","10166838319448458804170645706","53311300384497545871868","192501708512284661310026","102234684120447678122345070","64603635328011126048300636","166838319448458804170645706","217004185185447716316242","10151355846421904647676784433","3758377745490669119575","3006678578168236110000000000","0","3143641115968207613041265","873822023604711824368542747","72583954303473650914642","18137611674428673380273800",2021-07-24,"2021-07-24 06:00:04"
"0","0",9018,7049,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,464,216,500000,12446,0,16,5000,28,8701,216,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",160,150,186092,"20744098927672385886641","2090434951069404206754937442","66606453824313464523516","15484059006222020423943120","10166857056743920633233944082","53311300384497545871868","192501708512284661310026","102247161883631226467130973","64609894860289406766813109","166857056743920633233944082","217004185185447716316242","10151372997737698612810000962","3758377745490669119575","2999375960168236110000000000","0","3129921528753346671735192","873822023604711824368542747","72583954303473650914642","18137611674428673380273800",2021-07-24,"2021-07-24 12:00:05"
"0","0",9019,7049,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,467,217,500000,12450,0,16,5000,28,8704,217,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",160,150,186092,"20744098927672385886641","2090448725879500014706723662","66606453824313464523516","15484966264642843513248302","10166871292801472285561584006","53311300384497545871868","192501708512284661310026","102255044821858928759679381","64616247979613356801904625","166871292801472285561584006","217004185185447716316242","10151386326536829442048335704","3758377745490669119575","3014673255158236110000000000","0","3132605824851180244412462","873822368252195588498132628","72583954303473650914642","18137611674428673380273800",2021-07-24,"2021-07-24 18:00:03"
"0","0",9021,7048,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,468,217,500000,12457,0,16,5000,28,8707,217,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",161,153,186092,"20744098927672385886641","2090338149443161701212587022","66606453824313464523516","15487462907233481451673664","10166910163218980235141734668","53311300384497545871868","192501708512284661310026","102265790627852110237367116","64644372591128124904367552","166910163218980235141734668","217004185185447716316242","10151422700311746753690061004","3758377745490669119575","3014048519168236110000000000","0","3180444635500682848174101","873884368252195588498132628","72583954303473650914642","18137611674428673380273800",2021-07-25,"2021-07-25 00:00:05"
"0","0",9019,7047,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,470,217,500000,12459,0,16,5000,28,8708,217,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",162,154,186092,"20744098927672385886641","2090244513379387521620924111","66606453824313464523516","15487805055051224542017066","10166922684124485197767489768","53311300384497545871868","192501710442784661310026","102271772123197435019802621","64650912001287762747687147","166922684124485197767489768","217004187135447716316242","10151434879069433973225472702","3758377764990669119575","3014154786168236110000000000","0","3189365754637297861637316","873884368252195588498132628","72583956233973650914642","18137611674428673380273800",2021-07-25,"2021-07-25 06:00:04"
"0","0",9016,7047,"0xe1fdd398329c6b74c14cf19100316f0826a492d3",7,100000,25000,472,217,500000,12462,0,16,5000,28,8710,217,6646,500000,221,25000,0,0,11446768,0,0,28,"1000000000000000000","10000000000000000000000","100000000000000000000000","1000000012184945188",500000,10000,25000,"0.77",158,"0xfa872097b0968647fc5da4e16e6fb5d91aaaa2c0",162,154,186092,"20744098927672385886641","2090236566661576521041315041","66606453824313464523516","15487906613280796341421746","10166967751636753272906301270","53311300384497545871868","192501710442784661310026","102274900023760724776919423","64692851612992548129381847","166967751636753272906301270","217004187135447716316242","10151479845023472476564879524","3758377764990669119575","3010569604268236110000000000","0","3187809087024368818279463","873884368252195588498132628","72583956233973650914642","18137611674428673380273800",2021-07-25,"2021-07-25 12:00:04"
